,track_name,track_id,track_popularity,track_number,track_season
0,Unfair,78bSWIqoNPdJB8QpCVkv0K,49,1,winter
1,The First Snow,2VNpT9fRk1kyksT0S4coZR,52,5,winter
2,Love Again,4dYODiAYvJHWQJtNganYCY,59,7,winter
3,Let’s Love,0wk4GYAryLcXEMvfhzU1bv,49,2,winter
4,너를 사랑하고 있어,2KhNgn4w8LHxn3ybLoofh4,55,1,winter
5,Made In You,30NvzcboJe3GQRIDkJM0k3,46,3,winter
6,Beautiful goodbye,5lEvC4905fBtL9GjJKionT,53,2,winter
7,두근거려 (Beautiful),7rxnGhTlqU3FRUzd8F4R3d,51,1,winter
8,Self-Portrait,5RLYcoMDw5y0ULlCUvMzsQ,41,5,winter
9,Underwater,7tIFeLQFS7A6DLcZ12Mv3U,49,4,winter
10,Every second,1k555u88NiaBJH6AWlf5rA,50,1,winter
11,~42,48ssDYE9KA7gt7bx01RrT7,37,4,winter
12,Falling For You,24XLVxCLOhNEsjGBUrECsc,39,2,winter
13,Amusement Park,1TUkEXQrskATO9SoB4QMUN,56,1,winter
14,Dream,3JBnDOUd18QKjDqSYuOfpm,64,1,winter
15,Cry For Love,4QqROKO0RtV5CvxE7g90uw,63,6,winter
16,D (Half Moon),3uA8SjMyDtwtt0jLPMQbVD,65,5,winter
17,Tiny Little Boy,63oTx2gvxdNv9qGYQCA005,49,6,winter
18,Know Me (Feat. DEAN),0c0Gf3FpG1NKKThB434Qbl,54,4,winter
19,넘어와 (Feat. 백예린),7LN1f9jAIu7yxBzsLMN7RB,54,2,winter
20,Merry And The Witch’s Flower,55tdBGmnhA3pPqn9Ih4vzb,37,1,winter
21,Photograph,0PkpRtJqrwuXhbdtJuQm7E,53,6,winter
22,instagram,6z1kLsntE7FuzKZHZWrXYN,68,1,winter
23,UN Village,0WSTInLqMrT9po0LAHpZCJ,62,1,winter
24,Girl x Friend,1mMI14irOrynB5yvQY1Taz,41,3,winter
25,발자국 On the snow,61limJA2zOeHiYkKJHOFtB,39,4,winter
26,Christmassy!,1KMc5CXwEkjklwSqPMQjB1,38,1,winter
27,White,4RUF7vLA3KutJHfQ1eGWuA,35,1,winter
28,Break your rules,3UNXEhxZ1bXQ87osUTfxQl,44,6,winter
29,Must Have Love,5f3TJj7s2R0CmffNXTneF7,16,1,winter
30,Because It's Christmas,1oWe4At8PLglBRAeQVcglM,28,1,winter
31,Feel Special,2gN7FWVu7rq1MxJ7DGjhtb,32,1,winter
32,Love Is Everything,25tkPPlBrYCXkSIAASibtL,44,2,winter
33,right here,3m1LYtflSvSFz4Hu7O4GIF,25,1,winter
34,Last Christmas,5xDrO9DEDJGUQGfyoHvgDJ,62,1,winter
35,"아마두 (feat. 우원재, 김효은, 넉살 & 허클베리피)",7z4TxEA4mXG1ChgxXp7Mj3,38,1,winter
36,Make It To Christmas,6RS6rcjnWrdfVuu2U2W2dj,53,1,winter
37,"Can I Love ? (feat. youra, Meego)",4T2cOfemKB0owJS2JOu7dF,57,2,winter
38,"About Time (feat. GIRIBOY, THAMA)",2M7xLL49EPNaX5u6GOj5ue,29,3,winter
39,"Winter (feat. sunwoojunga, youra)",77jnpzZS9oIGquIGNaKBk6,31,2,winter
40,"NAM A (feat. THAMA, SOLE, Kim Seungmin)",4rhiJhZyEwEm1tzG4y3vl7,47,4,winter
41,Mannequin (Feat. Beenzino & SURAN),5NHX9nf376Qlt5fsU84SQb,10,1,winter
42,Consolation,6uYBDTTolezL3ne2HsXDm0,43,1,winter
43,josee!,1bUacg9mWo407qZvsknlFd,47,1,winter
44,예뻤어,3Pqp7yCHo6hbxMS0ZGc93N,33,1,winter
45,Modern Loneliness,1eyek0KJEh2v5HQ9uQSybb,61,21,winter
46,Everything I Love Will Make Me Cry,0a6dOdshuoE6H5nRErl5Yb,26,1,winter
47,Twilight Of Youth,4blIJNUxmJGvvQJJZxXB8S,9,1,winter
48,Pompeii (Love is Forever),3kSANhW7k6lMMhYgGH33rK,11,1,winter
49,ONLY,6TBJkXHPhu3EsMk1bshwuI,76,10,winter
50,For You,0JL7DoEqAUcOntWmBuOSdh,61,1,winter
51,Every moment of you 너의 모든 순간,4YTvuLSqKshDOJvwyDmAYS,56,1,winter
52,HeeJae,10PzmnIzAwd4vRRDUamEwr,46,3,winter
53,Whispers in the Dark,1qOla2w5bk6jb5C4RCDZyE,49,4,winter
54,Eul (Feat. BIG Naughty),3MEcq4JRbQImU04hBtyM0w,39,2,winter
55,Let's Not Love Each Other,6MPAgclYe1F9LSYXxOuoBC,46,4,winter
56,Like A Fool,1E8Cztx0OIj4zm1IZh2XXj,58,1,winter
57,Love Me Like That,1lhm29o3syw122xynSKaAK,70,1,winter
58,Lay Your Head on Me,2TkHnzYwHEoTVgoyqf6UJ2,56,1,winter
59,Your Dog Loves You (Feat. Crush),72cq3rZCIEYaq1TM8y5LBQ,58,1,winter
60,What 2 Do,6GS3lnAVy5w6AHWEKYzYeS,60,4,winter
61,Jam & Butterfly,5rZkRaL4AjykFgw49KULyo,64,1,winter
62,It's You (Feat. ZICO),6pm3SR1vvrV54AOJWsN7y7,56,2,winter
63,Nerdy Love,2TfsNTyC4uuamXBZJnU0ga,56,1,winter
64,Secrets Of The Human Body (Prod. By dnss),6bXqLHhpWoGzPXjm8e9uBY,12,4,winter
65,Just Kidding (Prod. by Zion.T),3SiTPm2IOaCz1cWFv6LSjn,31,1,winter
66,Tiger Den (Feat. Jvcki Wai),4lLtcSEIGqO7pvXCUvDtIU,36,1,winter
67,Sorry (Feat. OLNL),48BG1jM0IvYCXcB0rGkUU2,19,1,winter
68,EmptyHouse (Prod. By dnss) (Feat. THAMA),4ilsJT4GNG9dYidf5qcBVb,37,1,winter
69,Psycho,3CYH422oy1cZNoo0GTG1TK,74,1,winter
70,Salty,7Gj8f0zhVvSveNuXRkUGhN,54,5,winter
71,Day 1 ◑,6ZzYETKetIfNUsZUb23jgG,65,3,winter
72,Location Unknown ◐,6A1GBCMwbfhkB9e1thR8a8,55,7,winter
73,Crying Over You ◐,7i1pavASRUZk62ejaUIESa,60,8,winter
74,Lights Down Low,1sYSP7gKa5kdKIfhANfori,64,5,winter
75,Written In The Stars,6SLMyJPRTh2zCX9SJJHTZQ,59,1,winter
76,Tea time (Feat. 10CM),3JISGU3qHjPaBdWSh6ZJdq,44,1,winter
77,"Sakura Kiss (From ""Ouran High School Host Club"")",1Cit71poDuP2mxqH35oW9W,0,2,winter
78,Twinkle,45taTTB4hvmb6AnRla8aoF,33,2,winter
79,I'II be your star,0l9LpCsYufB1e5PJSvOXbU,43,1,winter
80,지금껏 그랬듯 앞으로도 계속 As usual as today,6HG6B14eXGGvral4v8JTfG,34,1,winter
81,They're Gonna Say We're Right,38uLSU8bZ4g1vrBl1KHHpg,46,4,winter
82,yours,2bU2EvhMM4Z1M1CLJlnZH1,52,1,winter
83,Youth,3WGd1zqLLAWUqPCEVTskT3,43,3,winter
84,선을 그어 주던가,3DO8WRX72c1Z5hduVL1Nd5,55,2,winter
85,free love,0GPJSHYaXh8rZSSJoUMgyl,64,3,winter
86,comethru,18uwL0vNUanqZH0ro2QcOP,78,1,winter
87,all the kids are depressed,75ls0gurX68lUmMjE7QcsE,74,1,winter
88,"always, i'll care",0rbKrBvZUYY9GN9l057BuY,73,11,winter
89,Better With You (with Benjamin Kheng),4SjXHwsZevaRo1M2EQgHf6,59,7,winter
90,Santa Claus Is Coming To Town,1JJUsWVriEtXr8lHSQXTIy,48,4,winter
91,Can I Lay by Your Side,7kZnkHvbHwWWmXMR0vtbVh,9,1,winter
92,Strawberries & Cigarettes,3afkJSKX0EAMsJXTZnDXXJ,81,1,winter
93,I Wouldn't Know Any Better Than You,3K8tRD2Prik7FXbD8lZ6DC,61,1,winter
94,봄날,16LATbHXLu0gh8MCw1hUGl,42,15,winter
95,Winter Wonderland,0zd2SSzszSuHCMpzokkKUo,12,4,winter
96,Sleigh Ride,6yTZXMiGHX8bwAQHZvQxkf,6,5,winter
97,"Let it Snow, Let it Snow, Let it Snow",1S80okWdnarCmC0KhJPxgK,4,8,winter
98,Angel (feat. TAEYEON),2bNTtfRuUYgt32fe1X2zaD,54,1,winter
