,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0,0.668,0.877,5,-3.24,0,0.0364,0.0879,0.0,0.154,0.781,97.984,78bSWIqoNPdJB8QpCVkv0K
1,0.636,0.674,7,-6.623,0,0.0444,0.00542,0.0,0.145,0.814,82.985,2VNpT9fRk1kyksT0S4coZR
2,0.684,0.595,4,-5.423,0,0.0364,0.286,8.55e-06,0.106,0.564,95.059,4dYODiAYvJHWQJtNganYCY
3,0.542,0.74,6,-2.635,0,0.0316,0.0177,0.0,0.267,0.336,133.901,0wk4GYAryLcXEMvfhzU1bv
4,0.606,0.46,4,-9.171,1,0.0402,0.853,4.09e-06,0.0933,0.131,124.117,2KhNgn4w8LHxn3ybLoofh4
5,0.56,0.723,1,-3.556,1,0.0562,0.137,0.0,0.13,0.408,149.977,30NvzcboJe3GQRIDkJM0k3
6,0.561,0.257,3,-7.844,1,0.0348,0.933,0.0,0.169,0.337,129.84,5lEvC4905fBtL9GjJKionT
7,0.547,0.642,9,-4.411,1,0.0348,0.505,9.88e-06,0.18,0.404,78.907,7rxnGhTlqU3FRUzd8F4R3d
8,0.573,0.731,0,-2.667,1,0.0264,0.145,0.0,0.251,0.268,79.993,5RLYcoMDw5y0ULlCUvMzsQ
9,0.37,0.691,4,-3.614,0,0.0534,0.51,0.0,0.148,0.304,98.173,7tIFeLQFS7A6DLcZ12Mv3U
10,0.43,0.597,0,-7.146,1,0.0352,0.581,2.17e-05,0.0787,0.485,119.517,1k555u88NiaBJH6AWlf5rA
11,0.723,0.691,0,-2.667,0,0.08,0.286,0.0,0.667,0.571,91.981,48ssDYE9KA7gt7bx01RrT7
12,0.698,0.867,6,-3.527,0,0.0524,0.24,0.0,0.0999,0.883,99.501,24XLVxCLOhNEsjGBUrECsc
13,0.635,0.562,5,-5.374,1,0.0333,0.85,0.0,0.173,0.299,84.925,1TUkEXQrskATO9SoB4QMUN
14,0.718,0.476,4,-9.205,1,0.139,0.422,0.0,0.0876,0.448,48.973,3JBnDOUd18QKjDqSYuOfpm
15,0.706,0.692,1,-4.084,0,0.0483,0.338,0.0,0.113,0.526,136.078,4QqROKO0RtV5CvxE7g90uw
16,0.512,0.765,7,-5.252,1,0.136,0.246,0.0,0.0573,0.519,169.709,3uA8SjMyDtwtt0jLPMQbVD
17,0.691,0.816,11,-6.085,1,0.0527,0.055,0.0,0.269,0.512,90.032,63oTx2gvxdNv9qGYQCA005
18,0.515,0.889,10,-4.7,0,0.345,0.159,0.0,0.318,0.379,134.052,0c0Gf3FpG1NKKThB434Qbl
19,0.496,0.63,6,-7.849,0,0.186,0.0747,0.0,0.638,0.318,168.225,7LN1f9jAIu7yxBzsLMN7RB
20,0.309,0.44,2,-10.227,1,0.0627,0.847,0.000113,0.157,0.142,165.829,55tdBGmnhA3pPqn9Ih4vzb
21,0.597,0.458,3,-8.295,1,0.0609,0.809,0.0,0.105,0.184,90.15,0PkpRtJqrwuXhbdtJuQm7E
22,0.463,0.566,8,-6.195,1,0.145,0.196,0.0,0.284,0.219,93.921,6z1kLsntE7FuzKZHZWrXYN
23,0.674,0.589,6,-3.806,0,0.112,0.267,0.0,0.312,0.577,83.985,0WSTInLqMrT9po0LAHpZCJ
24,0.493,0.846,0,-4.829,1,0.198,0.103,0.0,0.215,0.433,94.278,1mMI14irOrynB5yvQY1Taz
25,0.539,0.698,3,-5.121,1,0.0522,0.201,0.0,0.0428,0.464,170.095,61limJA2zOeHiYkKJHOFtB
26,0.702,0.911,2,-3.521,1,0.0772,0.0559,0.0,0.0482,0.607,107.94,1KMc5CXwEkjklwSqPMQjB1
27,0.689,0.775,1,-3.749,0,0.0324,0.0423,0.0,0.228,0.614,103.078,4RUF7vLA3KutJHfQ1eGWuA
28,0.619,0.834,11,-3.987,1,0.0461,0.232,0.0,0.119,0.698,104.979,3UNXEhxZ1bXQ87osUTfxQl
29,0.5,0.748,6,-3.967,0,0.0311,0.021,0.0,0.153,0.375,150.0,5f3TJj7s2R0CmffNXTneF7
30,0.527,0.63,8,-4.148,0,0.0329,0.682,0.0,0.0989,0.419,125.207,1oWe4At8PLglBRAeQVcglM
31,0.708,0.959,1,-1.338,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,2gN7FWVu7rq1MxJ7DGjhtb
32,0.563,0.931,11,-3.468,1,0.0909,0.0904,0.0,0.258,0.81,180.035,25tkPPlBrYCXkSIAASibtL
